name,cuisine,method,value,src,file
秘制红烧排骨,家常菜,A-pattern,270,红烧排骨+配菜,Kitchen/Recipes/家常菜/家常菜_秘制红烧排骨.json
秘制红烧肉,家常菜,A-pattern,290,红烧肉标准,Kitchen/Recipes/家常菜/家常菜_秘制红烧肉.json
笋干红烧肉,家常菜,A-pattern,310,红烧肉带配菜,Kitchen/Recipes/家常菜/家常菜_笋干红烧肉.json
简单的可乐鸡翅,家常菜,A-pattern,230,可乐鸡翅口味变体,Kitchen/Recipes/家常菜/家常菜_简单的可乐鸡翅.json
红烧全鱼,家常菜,B-reverse,643,reverse_calc(7项食材),Kitchen/Recipes/家常菜/家常菜_红烧全鱼.json
红烧多宝鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧多宝鱼.json
红烧安康鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧安康鱼.json
红烧扒皮鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧扒皮鱼.json
红烧排骨,家常菜,A-pattern,260,红烧排骨,Kitchen/Recipes/家常菜/家常菜_红烧排骨.json
红烧排骨千张结,家常菜,A-pattern,270,红烧排骨+配菜,Kitchen/Recipes/家常菜/家常菜_红烧排骨千张结.json
红烧排骨炖土豆,家常菜,A-pattern,270,红烧排骨+配菜,Kitchen/Recipes/家常菜/家常菜_红烧排骨炖土豆.json
红烧排骨胡萝卜,家常菜,A-pattern,270,红烧排骨+配菜,Kitchen/Recipes/家常菜/家常菜_红烧排骨胡萝卜.json
红烧排骨面,家常菜,A-pattern,270,红烧排骨+配菜,Kitchen/Recipes/家常菜/家常菜_红烧排骨面.json
红烧排骨饭,家常菜,A-pattern,270,红烧排骨+配菜,Kitchen/Recipes/家常菜/家常菜_红烧排骨饭.json
红烧昂刺鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧昂刺鱼.json
红烧杂鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧杂鱼.json
红烧桂鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧桂鱼.json
红烧海参斑鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧海参斑鱼.json
红烧瓦块鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧瓦块鱼.json
红烧福寿鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧福寿鱼.json
红烧紫薯排骨,家常菜,A-pattern,270,红烧排骨+配菜,Kitchen/Recipes/家常菜/家常菜_红烧紫薯排骨.json
红烧肉,家常菜,A-pattern,290,红烧肉标准,Kitchen/Recipes/家常菜/家常菜_红烧肉.json
红烧肉炖土豆,家常菜,A-pattern,310,红烧肉带配菜,Kitchen/Recipes/家常菜/家常菜_红烧肉炖土豆.json
红烧肉炖蛋,家常菜,A-pattern,310,红烧肉带配菜,Kitchen/Recipes/家常菜/家常菜_红烧肉炖蛋.json
红烧肉焖饭,家常菜,A-pattern,310,红烧肉带配菜,Kitchen/Recipes/家常菜/家常菜_红烧肉焖饭.json
红烧金昌鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧金昌鱼.json
红烧金鲳鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧金鲳鱼.json
红烧鱼,家常菜,A-pattern,180,红烧鱼,Kitchen/Recipes/家常菜/家常菜_红烧鱼.json
红烧鱼块,家常菜,A-pattern,180,红烧鱼,Kitchen/Recipes/家常菜/家常菜_红烧鱼块.json
红烧鱼头,家常菜,A-pattern,200,红烧鱼带主食,Kitchen/Recipes/家常菜/家常菜_红烧鱼头.json
红烧鱼头炖豆腐,家常菜,A-pattern,200,红烧鱼带主食,Kitchen/Recipes/家常菜/家常菜_红烧鱼头炖豆腐.json
红烧鱼尾,家常菜,A-pattern,180,红烧鱼,Kitchen/Recipes/家常菜/家常菜_红烧鱼尾.json
红烧鱼条,家常菜,A-pattern,180,红烧鱼,Kitchen/Recipes/家常菜/家常菜_红烧鱼条.json
红烧鱼段,家常菜,A-pattern,180,红烧鱼,Kitchen/Recipes/家常菜/家常菜_红烧鱼段.json
红烧鱼泡,家常菜,A-pattern,180,红烧鱼,Kitchen/Recipes/家常菜/家常菜_红烧鱼泡.json
红烧鲅鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧鲅鱼.json
红烧鲫鱼,家常菜,B-reverse,188,reverse_calc(5项食材),Kitchen/Recipes/家常菜/家常菜_红烧鲫鱼.json
红烧鲳鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧鲳鱼.json
红烧鳊鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧鳊鱼.json
红烧黄刺鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧黄刺鱼.json
红烧黄骨鱼,家常菜,A-pattern,200,红烧海鱼,Kitchen/Recipes/家常菜/家常菜_红烧黄骨鱼.json
老佛爷红烧肉,家常菜,A-pattern,310,本帮红烧肉偏甜,Kitchen/Recipes/家常菜/家常菜_老佛爷红烧肉.json
肥而不腻红烧肉,家常菜,A-pattern,260,红烧肉减油版,Kitchen/Recipes/家常菜/家常菜_肥而不腻红烧肉.json
腐乳红烧肉,家常菜,A-pattern,260,红烧肉减油版,Kitchen/Recipes/家常菜/家常菜_腐乳红烧肉.json
腐竹拌黑木耳,家常菜,A-pattern,70,黑木耳+配菜,Kitchen/Recipes/家常菜/家常菜_腐竹拌黑木耳.json
芋头红烧肉,家常菜,A-pattern,310,红烧肉带配菜,Kitchen/Recipes/家常菜/家常菜_芋头红烧肉.json
苏式红烧肉,家常菜,A-pattern,310,本帮红烧肉偏甜,Kitchen/Recipes/家常菜/家常菜_苏式红烧肉.json
莲子红烧肉,家常菜,A-pattern,310,红烧肉带配菜,Kitchen/Recipes/家常菜/家常菜_莲子红烧肉.json
萝卜红烧肉,家常菜,A-pattern,310,红烧肉带配菜,Kitchen/Recipes/家常菜/家常菜_萝卜红烧肉.json
蒜香红烧排骨,家常菜,A-pattern,270,红烧排骨+配菜,Kitchen/Recipes/家常菜/家常菜_蒜香红烧排骨.json
虎皮蛋焖红烧肉,家常菜,A-pattern,320,红烧肉+蛋,Kitchen/Recipes/家常菜/家常菜_虎皮蛋焖红烧肉.json
香甜可乐鸡翅,家常菜,A-pattern,230,可乐鸡翅口味变体,Kitchen/Recipes/家常菜/家常菜_香甜可乐鸡翅.json
马口鱼,家常菜,B-reverse,257,reverse_calc(6项食材),Kitchen/Recipes/家常菜/家常菜_马口鱼.json
高压锅版红烧肉,家常菜,A-pattern,260,红烧肉减油版,Kitchen/Recipes/家常菜/家常菜_高压锅版红烧肉.json
仔姜麻辣水煮鱼,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_仔姜麻辣水煮鱼.json
家常水煮肉片,川菜,A-pattern,270,水煮肉片标准,Kitchen/Recipes/川菜/川菜_家常水煮肉片.json
家常水煮鱼,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_家常水煮鱼.json
家常版鱼香肉丝,川菜,A-pattern,210,鱼香肉丝,Kitchen/Recipes/川菜/川菜_家常版鱼香肉丝.json
家常鱼香肉丝,川菜,A-pattern,210,鱼香肉丝,Kitchen/Recipes/川菜/川菜_家常鱼香肉丝.json
家庭版水煮活鱼,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_家庭版水煮活鱼.json
家庭版鱼香肉丝,川菜,A-pattern,210,鱼香肉丝,Kitchen/Recipes/川菜/川菜_家庭版鱼香肉丝.json
小清新版水煮鱼,川菜,A-pattern,220,水煮鱼清淡/番茄款,Kitchen/Recipes/川菜/川菜_小清新版水煮鱼.json
山寨版鱼香肉丝,川菜,A-pattern,210,鱼香肉丝,Kitchen/Recipes/川菜/川菜_山寨版鱼香肉丝.json
川味水煮肉片,川菜,A-pattern,270,水煮肉片标准,Kitchen/Recipes/川菜/川菜_川味水煮肉片.json
懒人水煮肉片,川菜,A-pattern,270,水煮肉片标准,Kitchen/Recipes/川菜/川菜_懒人水煮肉片.json
杏鲍菇鱼香肉丝,川菜,A-pattern,210,鱼香肉丝,Kitchen/Recipes/川菜/川菜_杏鲍菇鱼香肉丝.json
椒麻水煮鱼,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_椒麻水煮鱼.json
正宗川菜水煮鱼,川菜,A-pattern,220,水煮鱼清淡/番茄款,Kitchen/Recipes/川菜/川菜_正宗川菜水煮鱼.json
水煮活鱼,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_水煮活鱼.json
水煮牛肉片,川菜,A-pattern,260,水煮牛肉,Kitchen/Recipes/川菜/川菜_水煮牛肉片.json
水煮羊肉片,川菜,A-pattern,270,水煮羊肉,Kitchen/Recipes/川菜/川菜_水煮羊肉片.json
水煮肉片,川菜,A-pattern,270,水煮肉片标准,Kitchen/Recipes/川菜/川菜_水煮肉片.json
水煮豆腐鱼,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_水煮豆腐鱼.json
水煮鱼,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_水煮鱼.json
水煮鱼块,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_水煮鱼块.json
水煮鱼片,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_水煮鱼片.json
水煮龙利鱼,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_水煮龙利鱼.json
清香版水煮肉片,川菜,A-pattern,270,水煮肉片标准,Kitchen/Recipes/川菜/川菜_清香版水煮肉片.json
番茄水煮鱼,川菜,A-pattern,220,水煮鱼清淡/番茄款,Kitchen/Recipes/川菜/川菜_番茄水煮鱼.json
私房水煮肉片,川菜,A-pattern,270,水煮肉片标准,Kitchen/Recipes/川菜/川菜_私房水煮肉片.json
素鱼香肉丝,川菜,A-pattern,210,鱼香肉丝,Kitchen/Recipes/川菜/川菜_素鱼香肉丝.json
红火水煮鱼,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_红火水煮鱼.json
超麻辣水煮鱼,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_超麻辣水煮鱼.json
重庆水煮酸菜鱼,川菜,A-pattern,230,酸菜鱼,Kitchen/Recipes/川菜/川菜_重庆水煮酸菜鱼.json
重庆水煮鱼,川菜,A-pattern,220,水煮鱼清淡/番茄款,Kitchen/Recipes/川菜/川菜_重庆水煮鱼.json
香辣水煮鱼,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_香辣水煮鱼.json
鱼香红烧带鱼,川菜,B-reverse,463,reverse_calc(2项食材),Kitchen/Recipes/川菜/川菜_鱼香红烧带鱼.json
鱼香肉丝,川菜,A-pattern,210,鱼香肉丝,Kitchen/Recipes/川菜/川菜_鱼香肉丝.json
麻辣水煮肉片,川菜,A-pattern,270,水煮肉片标准,Kitchen/Recipes/川菜/川菜_麻辣水煮肉片.json
麻辣水煮鱼,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_麻辣水煮鱼.json
麻辣飘香水煮鱼,川菜,A-pattern,240,水煮鱼标准,Kitchen/Recipes/川菜/川菜_麻辣飘香水煮鱼.json
黄芪水煮鱼,川菜,A-pattern,220,水煮鱼清淡/番茄款,Kitchen/Recipes/川菜/川菜_黄芪水煮鱼.json
懒人版糖醋排骨,浙菜,A-pattern,280,糖醋排骨变体,Kitchen/Recipes/浙菜/浙菜_懒人版糖醋排骨.json
无油版糖醋排骨,浙菜,A-pattern,280,糖醋排骨,Kitchen/Recipes/浙菜/浙菜_无油版糖醋排骨.json
橙香糖醋排骨,浙菜,A-pattern,280,糖醋排骨变体,Kitchen/Recipes/浙菜/浙菜_橙香糖醋排骨.json
生炒糖醋排骨,浙菜,A-pattern,280,糖醋排骨变体,Kitchen/Recipes/浙菜/浙菜_生炒糖醋排骨.json
糖醋小排骨,浙菜,A-pattern,280,糖醋排骨变体,Kitchen/Recipes/浙菜/浙菜_糖醋小排骨.json
糖醋排骨,浙菜,A-pattern,280,糖醋排骨,Kitchen/Recipes/浙菜/浙菜_糖醋排骨.json
糖醋烤排骨,浙菜,A-pattern,280,糖醋排骨变体,Kitchen/Recipes/浙菜/浙菜_糖醋烤排骨.json
糖醋焖排骨,浙菜,A-pattern,280,糖醋排骨变体,Kitchen/Recipes/浙菜/浙菜_糖醋焖排骨.json
糖醋素排骨,浙菜,A-pattern,280,糖醋排骨变体,Kitchen/Recipes/浙菜/浙菜_糖醋素排骨.json
红烧糖醋排骨,浙菜,A-pattern,280,糖醋排骨变体,Kitchen/Recipes/浙菜/浙菜_红烧糖醋排骨.json
芜湖糖醋排骨,浙菜,A-pattern,280,糖醋排骨变体,Kitchen/Recipes/浙菜/浙菜_芜湖糖醋排骨.json
菠萝糖醋排骨,浙菜,A-pattern,280,糖醋排骨变体,Kitchen/Recipes/浙菜/浙菜_菠萝糖醋排骨.json
剁椒拌黑木耳,湘菜,A-pattern,80,湘式剁椒黑木耳,Kitchen/Recipes/湘菜/湘菜_剁椒拌黑木耳.json
广式糖醋排骨,粤菜,A-pattern,280,糖醋排骨,Kitchen/Recipes/粤菜/粤菜_广式糖醋排骨.json
咖喱酱意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_咖喱酱意大利面.json
培根奶油意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_培根奶油意大利面.json
培根意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_培根意大利面.json
培根白酱意面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_培根白酱意面.json
培根鲜虾意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_培根鲜虾意大利面.json
奶油培根意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_奶油培根意大利面.json
意大利红虾面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_意大利红虾面.json
意大利肉酱面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_意大利肉酱面.json
意大利蝴蝶面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_意大利蝴蝶面.json
意大利螺丝面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_意大利螺丝面.json
意大利螺旋面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_意大利螺旋面.json
橙汁黑椒牛肉意面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_橙汁黑椒牛肉意面.json
海鲜意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_海鲜意大利面.json
海鲜意面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_海鲜意面.json
爽心木耳沙拉,西餐,A-pattern,90,木耳沙拉,Kitchen/Recipes/西餐/西餐_爽心木耳沙拉.json
牛排意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_牛排意大利面.json
牛油果酱海鲜意面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_牛油果酱海鲜意面.json
牛肉味番茄意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_牛肉味番茄意大利面.json
番茄培根意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_番茄培根意大利面.json
番茄意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_番茄意大利面.json
番茄肉末意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_番茄肉末意大利面.json
番茄肉酱意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_番茄肉酱意大利面.json
番茄肉酱烩意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_番茄肉酱烩意大利面.json
番茄酱意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_番茄酱意大利面.json
番茄鲜虾意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_番茄鲜虾意大利面.json
肉酱意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_肉酱意大利面.json
茄汁培根意面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_茄汁培根意面.json
茄汁培根炒意面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_茄汁培根炒意面.json
菇香牛肉意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_菇香牛肉意大利面.json
蒜香意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_蒜香意大利面.json
蒜香胡椒炒意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_蒜香胡椒炒意大利面.json
蕃茄火腿意面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_蕃茄火腿意面.json
虾仁意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_虾仁意大利面.json
螺旋意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_螺旋意大利面.json
香椿意面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_香椿意面.json
香浓意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_香浓意大利面.json
香炒意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_香炒意大利面.json
黑椒牛柳意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_黑椒牛柳意大利面.json
黑胡椒意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_黑胡椒意大利面.json
黑胡椒牛排,西餐,A-pattern,280,黑椒牛排,Kitchen/Recipes/西餐/西餐_黑胡椒牛排.json
黑蒜菠菜意大利面,西餐,A-pattern,240,标准意面,Kitchen/Recipes/西餐/西餐_黑蒜菠菜意大利面.json
